MODIFIED_IGBP_MODIS_NOAH
33,2,  ALBD,  SLMO,  SFEM,  SFZ0,THERIN,  SCFX,   SFHC   
SUMMER
1,     12.,   .30,   .95,   50.,    4.,  3.33, 29.2e5, 'Evergreen Needleleaf Forest'
2,     12.,   .50,   .95,   50.,    5.,  1.67, 29.2e5, 'Evergreen Broadleaf Forest'
3,     14.,   .30,   .94,   50.,    4.,  2.86, 25.0e5, 'Deciduous Needleleaf Forest'
4,     16.,   .30,   .93,   50.,    4.,  2.63, 25.0e5, 'Deciduous Broadleaf Forest'
5,     13.,   .30,   .97,   50.,    4.,  2.11, 41.8e5, 'Mixed Forests'
6,     22.,   .10,   .93,    5.,    3.,  1.56, 20.8e5, 'Closed Shrublands'
7,     20.,   .15,   .95,    6.,    3.,  2.14, 20.8e5, 'Open Shrublands'
8,     22.,   .10,   .93,    5.,    3.,  1.56, 20.8e5, 'Woody Savannas'
9,     20.,   .15,   .92,   15.,    3.,  2.00, 25.0e5, 'Savannas'
10,    19.,   .15,   .96,   12.,    3.,  2.37, 20.8e5, 'Grasslands'
11,    14.,   .42,   .95,   30.,   5.5,  1.32, 35.5e5, 'Permanent wetlands'
12,    17.,   .30,  .985,   15.,    4.,  2.71, 25.0e5, 'Croplands'
13,    15.,   .10,   .88,   20.,    3.,  1.67, 18.9e5, 'Urban and Built-Up'
14,    18.,   .25,   .98,   14.,    4.,  2.56, 25.0e5, 'cropland/natural vegetation mosaic'
15,    55.,   .95,   .95,   0.1,    5.,    0., 9.0e25, 'Snow and Ice'
16,    25.,   .02,   .90,    1.,    2.,  0.81, 12.0e5, 'Barren or Sparsely Vegetated'
17,     8.,   1.0,   .98,  0.01,    6.,    0., 9.0e25, 'Water'
18,    15.,   .50,   .93,   30.,    5.,  2.67, 9.0e25, 'Wooded Tundra'
19,    15.,   .50,   .92,   15.,    5.,  2.67, 9.0e25, 'Mixed Tundra'
20,    25.,   .02,   .90,   10.,    2.,  1.60, 12.0e5, 'Barren Tundra'
21,     8.,   1.0,   .98,  0.01,    6.,    0., 9.0e25, 'Water'
WINTER
1,     12.,   .60,   .95,   50.,    5.,  3.00, 29.2e5, 'Evergreen Needleleaf Forest'
2,     12.,   .50,   .95,   50.,    5.,  1.67, 29.2e5, 'Evergreen Broadleaf Forest'
3,     15.,   .60,   .93,   50.,    5.,  2.60, 25.0e5, 'Deciduous Needleleaf Forest'
4,     17.,   .60,   .93,   50.,    5.,  2.40, 25.0e5, 'Deciduous Broadleaf Forest'
5,     14.,   .60,   .93,   20.,    6.,  1.12, 41.8e5, 'Mixed Forests'
6,     22.,   .20,   .93,    1.,    4.,  1.30, 20.8e5, 'Closed Shrublands'
7,     22.,   .25,   .93,    1.,    4.,  1.24, 20.8e5, 'Open Shrublands'
8,     22.,   .20,   .93,    1.,    4.,  1.30, 20.8e5, 'Woody Savannas'
9,     20.,   .15,   .92,   15.,    3.,  2.00, 25.0e5, 'Savannas'
10,    23.,   .30,   .92,   10.,    4.,  2.00, 20.8e5, 'Grasslands'
11,    14.,   .725,  .95,   30.,    6.,  1.32, 35.5e5, 'Permanent wetlands'
12,    20.,   .60,   .92,    5.,    4.,  2.00, 25.0e5, 'Croplands'
13,    15.,   .10,   .88,   20.,    3.,  1.67, 18.9e5, 'Urban and Built-Up'
14     20.,   .40,   .92,    5.,    4.,  2.00, 25.0e5, 'cropland/natural vegetation mosaic'
15,    70.,   .95,   .95,   0.1,    5.,    0., 9.0e25, 'Snow and Ice'
16,    23.,   .05,   .90,    1.,    2.,  0.81, 12.0e5, 'Barren or Sparsely Vegetated'
17,     8.,   1.0,   .98,  0.01,    6.,    0., 9.0e25, 'Water'
18,    15.,   .60,   .93,   30.,    5.,  1.75, 9.0e25, 'Wooded Tundra'
19,    15.,   .60,   .92,   15.,    5.,  1.75, 9.0e25, 'Mixed Tundra'
20,    25.,   .05,   .90,    5.,    5.,  1.80, 12.0e5, 'Barren Tundra'
21,    15.,   .02,   .88,   80.,    3.,  1.67, 18.9e5, 'Unassigned'
